Rk,,GP,W,L,T,PTS,PTS%,GF,GA,SRS,SOS,TG/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,SO
1,Detroit Red Wings*,70,44,13,13,101,.721,236,139,1.16,-0.23,5.36,,,,,,,,,0,,0,,11
2,Toronto Maple Leafs*,70,41,16,13,95,.679,212,138,0.88,-0.18,5.00,,,,,,,,,0,,0,,11
3,Montreal Canadiens*,70,25,30,15,65,.464,173,184,-0.13,0.03,5.10,,,,,,,,,0,,0,,6
4,Boston Bruins*,70,22,30,18,62,.443,178,197,-0.23,0.05,5.36,,,,,,,,,0,,0,,4
5,New York Rangers,70,20,29,21,61,.436,169,201,-0.38,0.08,5.29,,,,,,,,,0,,0,,2
6,Chicago Black Hawks,70,13,47,10,36,.257,171,280,-1.30,0.26,6.44,,,,,,,,,0,,0,,3
,League Average,70,28,28,15,70,.500,190,190,,,5.42,,,,,,,,,0,,0,,6
